time,latin
2004-01,81
2004-02,83
2004-03,87
2004-04,83
2004-05,86
2004-06,78
2004-07,78
2004-08,76
2004-09,88
2004-10,88
2004-11,87
2004-12,83
2005-01,81
2005-02,92
2005-03,88
2005-04,99
2005-05,89
2005-06,84
2005-07,80
2005-08,79
2005-09,87
2005-10,88
2005-11,91
2005-12,83
2006-01,91
2006-02,91
2006-03,90
2006-04,92
2006-05,96
2006-06,92
2006-07,83
2006-08,84
2006-09,92
2006-10,92
2006-11,93
2006-12,85
2007-01,86
2007-02,84
2007-03,85
2007-04,75
2007-05,79
2007-06,73
2007-07,74
2007-08,70
2007-09,76
2007-10,74
2007-11,74
2007-12,67
2008-01,73
2008-02,74
2008-03,70
2008-04,66
2008-05,75
2008-06,67
2008-07,61
2008-08,64
2008-09,68
2008-10,70
2008-11,67
2008-12,66
2009-01,67
2009-02,64
2009-03,66
2009-04,63
2009-05,66
2009-06,60
2009-07,56
2009-08,58
2009-09,67
2009-10,70
2009-11,69
2009-12,65
2010-01,67
2010-02,71
2010-03,74
2010-04,71
2010-05,75
2010-06,68
2010-07,72
2010-08,70
2010-09,75
2010-10,76
2010-11,74
2010-12,73
2011-01,75
2011-02,73
2011-03,74
2011-04,78
2011-05,77
2011-06,77
2011-07,78
2011-08,79
2011-09,78
2011-10,78
2011-11,83
2011-12,83
2012-01,84
2012-02,75
2012-03,73
2012-04,74
2012-05,73
2012-06,77
2012-07,77
2012-08,77
2012-09,82
2012-10,82
2012-11,81
2012-12,80
2013-01,87
2013-02,83
2013-03,84
2013-04,83
2013-05,91
2013-06,91
2013-07,94
2013-08,90
2013-09,97
2013-10,97
2013-11,92
2013-12,96
2014-01,100
2014-02,92
2014-03,93
2014-04,92
2014-05,90
2014-06,90
2014-07,91
2014-08,91
2014-09,88
2014-10,87
2014-11,87
2014-12,93
2015-01,92
2015-02,83
2015-03,84
2015-04,86
2015-05,85
2015-06,82
2015-07,88
2015-08,85
2015-09,86
2015-10,87
2015-11,80
2015-12,85
2016-01,87
2016-02,81
2016-03,82
2016-04,76
2016-05,77
2016-06,76
2016-07,77
2016-08,74
2016-09,75
2016-10,76
2016-11,34
2016-12,27
2017-01,28
2017-02,57
2017-03,77
2017-04,82
2017-05,77
2017-06,70
2017-07,71
2017-08,74
2017-09,75
2017-10,79
2017-11,77
2017-12,74
2018-01,79
2018-02,68
2018-03,41
2018-04,39
2018-05,40
2018-06,34
2018-07,44
2018-08,55
2018-09,33
2018-10,35
2018-11,70
2018-12,67
2019-01,73
2019-02,72
2019-03,79
2019-04,73
2019-05,78
2019-06,80
2019-07,72
2019-08,69
2019-09,69
2019-10,71
2019-11,70
2019-12,67
2020-01,69
2020-02,65
2020-03,77
2020-04,81
2020-05,77
2020-06,66
2020-07,67
2020-08,66
2020-09,72
2020-10,77
2020-11,71
2020-12,66
2021-01,71
2021-02,71
2021-03,69
2021-04,67
2021-05,66
2021-06,64
2021-07,60
2021-08,63
2021-09,64
2021-10,61
2021-11,65
2021-12,59
2022-01,65
2022-02,60
2022-03,55
2022-04,56
2022-05,59
2022-06,58
2022-07,60
2022-08,56
2022-09,66
2022-10,62
2022-11,67
2022-12,60
2023-01,64
2023-02,65
2023-03,71
2023-04,62
2023-05,76
2023-06,62
2023-07,58
2023-08,59
2023-09,66
2023-10,68
2023-11,67
2023-12,62
2024-01,63
2024-02,61
2024-03,63
2024-04,61
2024-05,58
2024-06,55
2024-07,55
2024-08,55
2024-09,60
2024-10,61
2024-11,59
2024-12,56
2025-01,58
