Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,7697168.8051714655,8335379.466,9036517.99,13191679.089000002,15062122.89,18060120.68,28106344.511,37042182.844000004,47007236.72400001,57520269.9,71507247.79,86818627.46700001,97868995.95699999,111370220.934,130244614.83,154116643.092,180555986.0,210361823.76,229791917.402,261925813.63599998
Afghanistan,AFG,24929.29239086,298748.50693050004,535716.1694928,492287.18799999997,487280.24480000004,975046.5854999999,1131363.56,1467385.4,1666912.334547,1865739.5360000003,2295476.61,2794503.7064,3817067.32,4818006.225,6172830.552,6662677.296,7188692.135999999,12760131.428,13857674.543,15400443.711499998
Africa Western and Central,AFW,3626782.0502770175,7281534.948,11072547.372000001,14069335.392,17229305.45,20551942.952,26233795.44,32606742.441,39692115.947000004,49899806.081999995,60641815.003,71917989.34,85461493.857,102284834.19199999,116214350.155,133912608.98099999,153760469.724,166670901.971,183535869.42,200703044.06599998
Angola,AGO,86457.55616744999,220569.3475257,300229.185,353235.53699999995,409994.445,515539.779,652255.1,1138262.544,1938659.3380000002,3401530.6,5802164.956087001,6194715.56,6770472.24,7861058.14,9076174.95,10402096.307807999,12254721.854804002,13055571.834742999,14002250.120115,22515858.908267997
Albania,ALB,73263.72886209999,182010.9616443,287583.4674453,446574.72613699996,703229.1203999999,1206137.8280000002,1310859.45,1365441.65,1432798.094,1499657.656,1568783.4719999998,1639120.007,1714156.196,1793037.1679999998,1874609.904,1956559.347264,2049996.8470730002,2230317.502842,2294751.6573929996,2282880.2980319997
Andorra,AND,19947.343500000003,29114.786418000003,38946.35228,58026.229900000006,58479.89800000001,65877.2464,65371.86,63004.23,63541.718,63463.736000000004,63487.55699999999,63440.946,64746.357,67542.935025,44314.501950470556,69376.21863799999,72122.49328000001,73581.8369,75309.667775,71765.41382399999
Arab World,ARB,22730476.96902885,27617796.88754092,37894061.15958314,47716382.65321098,63122588.83098925,74958505.34555416,91533853.45630398,100487494.67975348,115230079.43620178,130431584.5443439,148196707.90037766,168105909.23358935,172415342.3168576,206413297.74043632,228974425.8412744,266916702.33079323,273433146.4619099,295589687.2358308,317485829.73763937,454590758.8509614
United Arab Emirates,ARE,1334505.333671,1865916.0,2604732.0,3431027.35,3970678.32,4292517.12,4671489.84,5541539.64,6282730.8,6769867.28,7285733.76,7697239.485,8095196.07,8745452.721775,9201827.1345,9365495.8275,9401038.0,9575152.0,10074977.0,10483751.0
Argentina,ARG,6224792.001172001,6949450.311534001,8291799.25028,10382989.428558,11364279.030648,13890642.54,18579912.3,21282636.6,23526240.317999996,25506890.545,27836573.937000003,29583106.752171997,31155613.132969998,32904389.508406,34696843.314,35954936.06355,38645637.71796,39489970.077466995,40129416.791616,40633459.82829
Armenia,ARM,155048.76748999997,165279.76272,176111.70509,187104.3225,191708.91,469098.0,761200.0,968928.0,1134037.5,1266218.0,1646221.9463999998,1775742.6368,1925425.358,1929009.5506,2026197.0189999999,1971363.0374999996,2265775.5355,2328732.1629000003,2287106.4683999997,2714404.006325
Antigua and Barbuda,ATG,19102.346135,21494.97,24181.2,27779.36,31506.56,35352.66,40100.4,44892.64,50610.8,55832.575999999994,60164.917,62586.3,65677.37,68936.61600000001,72377.09599999999,76014.848,79799.203102,80411.96826,84867.17932,86113.73114599999
Australia,AUS,7828227.742865001,12711411.72,13497637.56,14464783.479,15229300.9233,16106052.3525,16744130.0,17757571.257048,17959437.35,19301233.135015,19719576.24,20138924.451975003,20934810.9178,21283655.2846,22466932.2,23715905.283774,24288170.65488,24398213.263032004,24681473.224038,25008299.251946997
Austria,AUT,4435743.1448,4772140.82,5258855.676,5754579.331900001,6063874.135199999,6128170.7435,6286770.786800001,6607579.6981999995,6746521.7973,6836331.544724,6922189.413048,7254690.183299,7367081.714315999,7736192.447496,7733608.206111001,7792325.15824,7804877.558015999,8286727.317724001,8464447.436990999,8705736.954067
Azerbaijan,AZE,2268881.43445,673897.44403,1017484.2051,1247721.02,1496788.7199999997,2451544.582,4164992.72,4586541.0,5038314.928,6874264.73,7151309.25,7429992.57,7630608.984,7784686.07,7931937.257999999,8129693.512999999,8538780.365999999,8718465.0,8924745.28,9656268.517935334
Burundi,BDI,25518.5758336,41134.01041757,51723.28648371,57133.117999999995,68895.6597,80528.814,93764.44,107869.5558,122866.5416,131976.2367902,112575.8788615,220951.6,247267.92200000002,306166.16991500003,474377.84,747575.4959999999,1157363.2356872,1320482.377926,1501953.68675,12986145.379949998
Belgium,BEL,5612824.388200001,5849164.009400001,6537824.7796020005,7093759.822800001,7374598.2385289995,8048148.538413,8459311.179228,9008327.2504,8965515.5104,9169707.050714,9527832.958684,9589030.649683999,9803549.71463,9973704.408925999,10129774.840542,10371722.65092,10560868.851456,10750679.719965,10980308.45638,11154002.250249
Benin,BEN,96484.55018759999,107098.8180832,133689.022097,160276.0451,170726.621,213011.07520000002,306661.24919999996,418715.7816336,467894.565,524732.866,661800.24,1278644.6465500002,1696187.09,2251438.86,2352835.93,2608984.775,2891199.803814,4123539.2407230004,4645235.056601999,10995096.619933998
Burkina Faso,BFA,54041.958572350006,65468.996474219995,90943.59408556,111122.3025,140374.45560000002,177523.74579999998,388235.95199999993,499857.24,639672.8424360999,884770.45,1093767.66,1229925.3985,1380508.7184000001,1549774.3053000001,1737254.48,1943552.3617312,3350052.75799,3984218.3170200004,4484633.204006,14094207.968997333
Bangladesh,BGD,284428.12846816,349686.88381682,1464059.73,2663807.004,3736856.6,4677085.134000001,5631473.297,6911598.42,7753505.05,10378080.9483,18797826.551000003,20560430.091000002,29106959.692,34870021.605,41861914.368,50133568.72,60048719.784184,65248466.846596,70489863.656344,76307440.15872999
Bulgaria,BGR,1399066.7179999999,1529496.7084000001,2059116.8598,2538251.7032,2972298.9487,3349999.35,3418985.4176999996,3525727.7744,3791755.872,3854978.995725,4008592.0919520003,4066784.1149330004,4264255.15061,4486865.068647,4550959.469339999,4739820.32667,4865078.274374999,5176973.444502,5256656.338156001,5182392.738016
Bahrain,BHR,176764.109967,189351.972414,271262.15456,342031.98449999996,573266.172,624559.95,675698.65,920165.4,1063888.32,1127871.9,1189719.361422,1280953.710126,1395251.48,1439241.499596,1482719.6076769999,1479326.98834,1467360.44884,1504365.0,1524693.0,1577059.0
"Bahamas, The",BHS,74752.04,85973.5,90577.5,95400.18,112951.048,122920.028,158015.54,241623.85,269392.249058,272846.16,294063.6216,300569.88,310444.0,314730.91,325955.11,357943.7817749999,365950.40413100005,371665.881791,375322.38394599996,366240.94384
Bosnia and Herzegovina,BIH,640569.27903,873646.772631,1020791.444928,1120547.9808,1368218.7504,1464234.2556,1629404.28,1642189.080846,1653918.0728850001,1752035.727967,1779480.645733,1850752.5659999999,2092710.052695,2224940.32344,2374967.787,2340076.5487789996,2415512.7911819997,2455622.311134,2526842.16091,2655624.685356
Belarus,BLR,1229355.2963699999,1851929.8551524999,1555997.6879999998,1883507.741,2191436.55,2607107.1169,3015859.848,3751437.3714269996,4431510.7676,5115387.3987,5576163.957945,5887665.439104,6733959.488270001,7040930.887996,7468901.131715001,7798542.290136,7981204.177808001,8082867.265140001,8259797.194183,8399289.95725
Belize,BLZ,26625.424000000003,47554.27,69090.72,72840.6,80046.943,85031.00799999999,90309.09,100480.48599999999,103668.34,114786.672,135033.201,148198.8947,162569.806685,175713.204852,189352.548,205646.857,223148.571444,257053.178508,283338.77482,368647.0750965
Bermuda,BMU,38152.857495000004,41042.530881000006,43920.777497999996,46848.31306,52095.9,52917.8625,53662.8225,56299.18288,58108.352478,60586.022000000004,61496.072,62400.089503999996,62180.02,62541.67860000001,30028.049245499995,32301.850518,37675.960108,42343.53492800001,46501.792939499996,56825.256218999995
Bolivia,BOL,408662.9793704,489340.9039532,590408.5133163,1016948.31232,1231357.25,1682734.2,2280845.28,3104678.7,3716286.1938000005,3951496.6992,3753888.830208,4129060.4339400004,4438188.4395,4972593.407601,5096607.360847999,5540967.160728,7082701.436899001,7875959.75664,8850512.842974,10528883.94880925
Brazil,BRA,34842908.750391,38826425.408927,52595858.821104005,58224956.41599999,64401258.2666,75333756.7822,78739834.13849999,89225594.9646,95603039.5016,101303323.8096,109148437.62977001,117633304.30496,123703946.44465,138116075.486285,145170206.53452298,153335308.67791602,169730362.725534,169085922.67830598,169355129.25837,177676190.297874
Barbados,BRB,133114.40399999998,141070.65,149311.106,157889.616,167446.396,177357.581,179183.19299999997,183632.435,197179.85600000003,199363.47,200132.21200000003,200872.8,201869.75600000002,202563.633,203234.76400000002,204156.282,204728.52866799998,211214.115612,215141.27885399997,238826.548272421
Brunei Darussalam,BRN,104869.62111599998,130883.744224,153837.827169,165706.0564,173784.78,188626.48,207935.96,223657.84,244441.776167,265225.29,286598.975,300614.944,384807.6,410556.51492399996,415919.5,420546.0,425258.844212,431946.91322499997,450681.51048,390236.7884936866
Bhutan,BTN,20537.543971199997,25462.674601499995,30308.8453768,40175.5472,44955.9905,49758.9396,95421.95199999999,102150.288,111895.524,162461.152,222141.117,294765.964,347757.69,409603.905,482446.965,567341.854256,591755.7710480001,664064.4900979999,678148.060342,672101.5053028981
Botswana,BWA,59724.1874394,60026.9070635,80415.4242388,100911.4128,121873.125,122426.3895,121986.66,186618.15,337378.72,642204.6,798111.0516680001,822087.425033,879674.8768799999,938746.069086,1333501.78,1511803.121829,1596401.171864,1806815.391108,1886700.166624,2130681.1767888702
Central African Republic,CAF,9366.815212259999,11502.416867599999,13621.23104061,16771.8037032,45589.84,81522.846,89859.9,100430.46200000001,110660.352,116060.475,124825.914,134250.28,146123.553,191740.44,248811.50699999998,371305.6597948,430564.49141877325,540995.12103644,4367163.736804,4448857.366762763
Canada,CAN,21065559.54492,23105141.751199998,23581543.732000005,24074664.552,25500677.566,27004945.406999998,27306739.305999998,28501553.43,28812117.85,30099491.136,30870158.299200002,32134048.2,32918608.0148,33877796.15605,35085527.568,34576249.690855,35100432.874,35674619.203288004,36602712.64,34798387.692875125
Central Europe and the Baltics,CEB,31111841.85791493,36861883.94168835,43176157.436099164,47719989.73067836,53233518.493421495,57728271.261715576,61179257.93658988,61572687.332561895,64130769.698738985,65800181.63704122,68779424.2297139,69504538.01404008,73432724.42733468,75364922.45759761,77830547.44249137,80527918.17943327,83462056.01280217,85266425.67559654,86482283.43706127,87376134.22018746
Switzerland,CHE,5010165.75,5213417.614999999,5665338.038000001,5829462.324,6056958.6,6295734.602999999,6565098.651000001,6740809.22814,6813325.572000001,6984341.336399999,6847127.200277,7245365.479236001,7463549.706286,7580125.674240001,7816154.021999999,7987538.88408,8150101.926333001,8318882.384924,8496624.930048,8652060.802291999
Chile,CHL,4561247.405838001,5096780.587834,5695309.072709999,5985097.579,6280942.524,7069244.203600001,7731658.8,9066254.452736,9644275.009499999,10258463.48,10916809.5645,13829822.847000001,15263834.126505999,15279052.0527,16040319.159000002,16321461.202944,16941412.156032,17278100.12703,17730086.900684003,18502738.23132
China,CHN,94613475.0,111119445.27200001,137961256.64,210861600.0,299372030.0,384734140.0,458832815.0,515148404.99999994,572823724.19,624363919.9999999,657120940.0,694069580.0,738304280.0,758144745.0,830433920.0,902095665.705,988515060.8,1031774175.52,1067763875.775,1093056197.1699998
Cote d'Ivoire,CIV,166416.80789999999,208559.4429192,313318.183698,378550.044,408774.341,439958.8,607177.7550000001,666478.0,1032551.432,1580025.15,2452739.5,9704693.864799999,10709662.03359,11719883.551428001,10311835.715445,10230961.03601,10414361.604533998,11485516.258944,11675723.303266,24445789.70294825
Cameroon,CMR,162130.81098525002,239496.79274099998,356052.12697180005,528861.9528,631517.904,733976.6015999999,845726.838,1011615.2,1560714.675,2140237.6,3576989.590057,4165704.762,4831557.166,5598559.29003,7367495.751,9319723.064240001,10805669.483312,11451470.735648,12120534.710959,22526147.278234247
"Congo, Dem. Rep.",COD,111834.12766128,139908.55789512,179455.82027032,231167.6824,283318.9216,371907.4464,493653.8736,850191.7320000001,1230648.2805527998,1667366.69,2352097.26,3079350.1780000003,8479597.915,7506501.824202,10535574.348,15318853.810904002,19043263.723224,25947275.5044,27892934.083199997,85001321.55409937
"Congo, Rep.",COG,38418.84435,54093.754440599994,77054.7889791,109847.92671,176367.4527267,192654.855,223114.5,258144.544,289485.06015000003,320568.534,353785.068,388230.23968570004,424171.76265199995,462862.45149999997,2078825.493576,2288455.1661705,1427877.2429459998,1929200.881311,2187538.111776,5026985.374922499
Colombia,COL,3788192.9796599,4637262.885321001,6549538.034027999,9425311.532,11202254.848,13281462.3,16343721.435,18262661.585526,22391603.737999998,23860368.928000003,24478561.282149002,26258544.957000002,27578509.16388,29966361.031722,31437624.523760006,32443633.900964998,35337358.296141,37381903.731132,37663360.666016005,43039582.37966399
Comoros,COM,7707.8584032,11853.54,13304.566,15423.175,18879.21,22468.145,33396.636,36743.08,40729.43739,45252.48,49662.909400000004,54204.3730712,58881.7741512,64151.684157300006,476944.46988,128871.36636400002,169763.48170412713,223663.76157535063,604362.9495900001,707657.40812975
Cabo Verde,CPV,25496.875371000002,29466.321703499998,33413.2278648,41100.509318,70189.7,106289.61,152935.2,163663.04,177853.167,192084.375,206262.44759999998,218705.13101999997,257931.52431200002,293180.409553,305481.925,318453.49713599996,357050.32138599997,368759.257048,374744.17556099995,439653.641790875
Costa Rica,CRI,873292.817994,940455.668,1084656.34,1243990.4319999998,1433694.0824000002,1544778.2503,1662926.13,1807616.9356260002,2215368.65,2167541.1612,2526573.07,2879404.0499400003,3206397.7503919993,3516935.620609,3642989.7929459997,4059767.024378,4054147.96464,4187089.4701199997,4197436.2546999995,4346180.2667499995
Caribbean small states,CSS,410152.9557710013,483507.84730769956,573451.3826031012,670612.6224150006,793480.1352000008,939616.9895999996,1050271.8711999985,1167840.2239999988,1266858.272603999,1326513.5530000008,1435122.5290000006,1509141.0207259993,1582388.5862849993,1696665.03684,1852044.4011339531,2081809.2752379987,2276453.1614819993,2412025.1186770014,2528578.4397059996,2731566.739167
Cuba,CUB,944952.3567288001,1096754.2660524,1258641.0658,1319482.0968,1461154.0028,1618533.2327,1796288.031,1810206.5317829999,2396273.1,3155578.0431,3280797.3640499995,4206174.273315,4841813.584644001,6427954.308236,7037034.064102,7614664.048967999,7948522.377614,7523423.711080001,8097756.88796,9716724.979871
Cayman Islands,CYM,9577.884344799999,17795.535072,21463.24,25837.24,31202.11,33938.61,35705.34,38627.208354,39823.792,41879.670000000006,44578.56,47464.34,49849.0,52317.040195,48503.726812500005,51853.370244000005,55606.90982,55526.58762000001,58281.803554000006,65513.369607
Cyprus,CYP,344347.1125,339961.14310000004,377797.9694,437345.4978,461613.1006,552577.6951,597629.6984,651894.773307,707278.273903,774916.1044600001,833193.0098870001,874574.3958139999,938970.4822239999,1012741.7718000001,1072928.995632,1107355.382756,1182465.018693,1195583.0618550002,1192920.8337,1226903.2469119998
